Bradley Byrne,2000,Republican,Alabama
Martha Roby,2000,Republican,Alabama
Mike D Rogers,2000,Republican,Alabama
Robert B Aderholt,3500,Republican,Alabama
Mo Brooks,1000,Republican,Alabama
Gary Palmer,2000,Republican,Alabama
Terri Sewell,0,Democrat,Alabama
Don Young,6950,Republican,Alaska
Ann Kirkpatrick,0,Democrat,Arizona
Martha McSally,6500,Republican,Arizona
Raúl Grijalva,0,Democrat,Arizona
Paul Gosar,2000,Republican,Arizona
Matt Salmon,0,Republican,Arizona
David Schweikert,1000,Republican,Arizona
Ruben Gallego,0,Democrat,Arizona
Trent Franks,2000,Republican,Arizona
Kyrsten Sinema,0,Democrat,Arizona
Rick Crawford,1000,Republican,Arkansas
French Hill,2000,Republican,Arkansas
Steve Womack,1500,Republican,Arkansas
Bruce Westerman,1000,Republican,Arkansas
Ken Calvert,4500,Republican,California
David Valadao,3500,Republican,California
Devin Nunes,3500,Republican,California
Paul Cook,3000,Republican,California
Steve Knight,3000,Republican,California
Ed Royce,2500,Republican,California
Darrell Issa,2000,Republican,California
Doug LaMalfa,2000,Republican,California
Jeff Denham,2000,Republican,California
Mimi Walters,2000,Republican,California
Tom McClintock,2000,Republican,California
Dana Rohrabacher,1000,Republican,California
Kevin McCarthy,1000,Republican,California
Mark DeSaulnier,0,Democrat,California 11
Nancy Pelosi,0,Democrat,California 12
Barbara Lee,0,Democrat,California 13
Jackie Speier,0,Democrat,California 14
Eric Swalwell,0,Democrat,California 15
Jim Costa,0,Democrat,California 16
Mike Honda,0,Democrat,California 17
Anna Eshoo,0,Democrat,California 18
Zoe Lofgren,0,Democrat,California 19
Jared Huffman,0,Democrat,California 2
Sam Farr,0,Democrat,California 20
Lois Capps,0,Democrat,California 24
Julia Brownley,0,Democrat,California 26
Judy Chu,0,Democrat,California 27
Adam Schiff,0,Democrat,California 28
Tony Cárdenas,0,Democrat,California 29
John Garamendi,0,Democrat,California 3
Brad Sherman,0,Democrat,California 30
Pete Aguilar,0,Democrat,California 31
Grace Napolitano,0,Democrat,California 32
