John Conyers,D,Michigan 13,,
Charles B. Rangel,D,New York 13,,
Don Young,R,Alaska at-large,,
James Sensenbrenner,R,Wisconsin 5,,
Hal Rogers,R,Kentucky 5,,
Christopher Smith,R,New Jersey 4,,
Steny Hoyer,D,Maryland 5,,
Marcy Kaptur,D,Ohio 9,,
Sander Levin,D,Michigan 9,,
Joe Barton,R,Texas 6,,
Pete Visclosky,D,Indiana 1,,
Peter DeFazio,D,Oregon 4,,
John Lewis,D,Georgia 5,,
Louise Slaughter,D,New York 25,,
Lamar Smith,R,Texas 21,,
Fred Upton,R,Michigan 6,,
Nancy Pelosi,D,California 12,,
John Duncan,R,Tennessee 2,,
Frank Pallone,D,New Jersey 6,,
Eliot Engel,D,New York 16,,
Nita Lowey,D,New York 17,,
Jim McDermott,D,Washington 7,,
Richard Neal,D,Massachusetts 1,,
Dana Rohrabacher,R,California 48,,
Ileana Ros-Lehtinen,R,Florida 27,,
José Serrano,D,New York 15,,
David Price,D,North Carolina 4,,
John Boehner,R,Ohio 8,,
Rosa DeLauro,D,Connecticut 3,,
Collin Peterson,D,Minnesota 7,,
Maxine Waters,D,California 43,,
Sam Johnson,R,Texas 3,,
Jerrold Nadler,D,New York 10,,
Jim Cooper,D,Tennessee 5,,
Xavier Becerra,D,California 34,,
Sanford Bishop,D,Georgia 2,,
Corrine Brown,D,Florida 5,,
Ken Calvert,R,California 42,,
Jim Clyburn,D,South Carolina 6,,
Anna Eshoo,D,California 18,,
Bob Goodlatte,R,Virginia 6,,
Gene Green,D,Texas 29,,
Luis Gutiérrez,D,Illinois 4,,
Alcee Hastings,D,Florida 20,,
Eddie Bernice Johnson,D,Texas 30,,
Peter King,R,New York 2,,
Carolyn Maloney,D,New York 12,,
John Mica,R,Florida 7,,
Lucille Roybal-Allard,D,California 40,,
Ed Royce,R,California 39,,
Bobby Rush,D,Illinois 1,,
Bobby Scott,D,Virginia 3,,
Nydia Velázquez,D,New York 7,,
Bennie Thompson,D,Mississippi 2,,
Sam Farr,D,California 20,,
Frank Lucas,R,Oklahoma 3,,
Lloyd Doggett,D,Texas 35,,
Mike Doyle,D,Pennsylvania 14,,
Chaka Fattah,D,Pennsylvania 2,,
Rodney Frelinghuysen,R,New Jersey 11,,
Sheila Jackson-Lee,D,Texas 18,,
Walter B. Jones,R,North Carolina 3,,
Frank LoBiondo,R,New Jersey 2,,
Zoe Lofgren,D,California 19,,
Mac Thornberry,R,Texas 13,,
Ed Whitfield,R,Kentucky 1,,
Elijah Cummings,D,Maryland 7,,
Earl Blumenauer,D,Oregon 3,,
Robert Aderholt,R,Alabama 4,,
Kevin Brady,R,Texas 8,,
Danny Davis,D,Illinois 7,,
Diana DeGette,D,Colorado 1,,
Kay Granger,R,Texas 12,,
Rubén Hinojosa,D,Texas 15,,
Ron Kind,D,Wisconsin 3,,
Jim McGovern,D,Massachusetts 2,,
Bill Pascrell,D,New Jersey 9,,
Joe Pitts,R,Pennsylvania 16,,
Loretta Sanchez,D,California 46,,
Pete Sessions,R,Texas 32,,
Brad Sherman,D,California 30,,
John Shimkus,R,Illinois 15,,
Adam Smith,D,Washington 9,,
Gregory Meeks,D,New York 5,,
Lois Capps,D,California 24,,
Barbara Lee,D,California 13,,
Robert Brady,D,Pennsylvania 1,,
Steve Chabot,R,Ohio 1,,
Mike Capuano,D,Massachusetts 7,,
Joe Crowley,D,New York 14,,
John Larson,D,Connecticut 1,,
Grace Napolitano,D,California 32,,
Paul Ryan,R,Wisconsin 1,,
Jan Schakowsky,D,Illinois 9,,
Mike Simpson,R,Idaho 2,,
Mike Thompson,D,California 5,,
Greg Walden,R,Oregon 2,,
Lacy Clay,D,Missouri 1,,
Ander Crenshaw,R,Florida 4,,
John Culberson,R,Texas 7,,
Susan Davis,D,California 53,,
Sam Graves,R,Missouri 6,,
Mike Honda,D,California 17,,
Steve Israel,D,New York 3,,
Darrell Issa,R,California 49,,
James Langevin,D,Rhode Island 2,,
Rick Larsen,D,Washington 2,,
Betty McCollum,D,Minnesota 4,,
Adam Schiff,D,California 28,,
Patrick Tiberi,R,Ohio 12,,
Bill Shuster,R,Pennsylvania 9,,
Randy Forbes,R,Virginia 4,,
Stephen Lynch,D,Massachusetts 8,,
Jeff Miller,R,Florida 1,,
Joe Wilson,R,South Carolina 2,,
Rob Bishop,R,Utah 1,,
Marsha Blackburn,R,Tennessee 7,,
Michael Burgess,R,Texas 26,,
John Carter,R,Texas 31,,
Tom Cole,R,Oklahoma 4,,
Mario Diaz-Balart,R,Florida 25,,
Trent Franks,R,Arizona 8,,
Scott Garrett,R,New Jersey 5,,
Raúl Grijalva,D,Arizona 3,,
Jeb Hensarling,R,Texas 5,,
Steve King,R,Iowa 4,,
John Kline,R,Minnesota 2,,
Candice Miller,R,Michigan 10,,
Tim Murphy,R,Pennsylvania 18,,
Devin Nunes,R,California 22,,
Mike D. Rogers,R,Alabama 3,,
Dutch Ruppersberger,D,Maryland 2,,
Tim Ryan,D,Ohio 13,,
Linda Sánchez,D,California 38,,
David Scott,D,Georgia 13,,
Michael Turner,R,Ohio 10,,
Chris Van Hollen,D,Maryland 8,,
Randy Neugebauer,R,Texas 19,,
G. K. Butterfield,D,North Carolina 1,,
Charles Boustany,R,Louisiana 3,,
Emanuel Cleaver,D,Missouri 5,,
Mike Conaway,R,Texas 11,,
Jim Costa,D,California 16,,
Henry Cuellar,D,Texas 28,,
Charlie Dent,R,Pennsylvania 15,,
Jeff Fortenberry,R,Nebraska 1,,
Virginia Foxx,R,North Carolina 5,,
Louie Gohmert,R,Texas 1,,
Al Green,D,Texas 9,,
