Bradley Byrne,2000,Republican,Alabama
Martha Roby,2000,Republican,Alabama
Mike D Rogers,2000,Republican,Alabama
Robert B Aderholt,3500,Republican,Alabama
Mo Brooks,1000,Republican,Alabama
Gary Palmer,2000,Republican,Alabama
Terri Sewell,0,Democrat,Alabama
Don Young,6950,Republican,Alaska
Ann Kirkpatrick,0,Democrat,Arizona
Martha McSally,6500,Republican,Arizona
Raúl Grijalva,0,Democrat,Arizona
Paul Gosar,2000,Republican,Arizona
Matt Salmon,0,Republican,Arizona
David Schweikert,1000,Republican,Arizona
Ruben Gallego,0,Democrat,Arizona
Trent Franks,2000,Republican,Arizona
Kyrsten Sinema,0,Democrat,Arizona
Rick Crawford,1000,Republican,Arkansas
French Hill,2000,Republican,Arkansas
Steve Womack,1500,Republican,Arkansas
Bruce Westerman,1000,Republican,Arkansas
Ken Calvert,4500,Republican,California
David Valadao,3500,Republican,California
Devin Nunes,3500,Republican,California
Paul Cook,3000,Republican,California
Steve Knight,3000,Republican,California
Ed Royce,2500,Republican,California
Darrell Issa,2000,Republican,California
Doug LaMalfa,2000,Republican,California
Jeff Denham,2000,Republican,California
Mimi Walters,2000,Republican,California
Tom McClintock,2000,Republican,California
Dana Rohrabacher,1000,Republican,California
Kevin McCarthy,1000,Republican,California
Mark DeSaulnier,0,Democrat,California
Nancy Pelosi,0,Democrat,California
Barbara Lee,0,Democrat,California
Jackie Speier,0,Democrat,California
Eric Swalwell,0,Democrat,California
Jim Costa,0,Democrat,California
Mike Honda,0,Democrat,California
Anna Eshoo,0,Democrat,California
Zoe Lofgren,0,Democrat,California
Jared Huffman,0,Democrat,California
Sam Farr,0,Democrat,California
Lois Capps,0,Democrat,California
Julia Brownley,0,Democrat,California
Judy Chu,0,Democrat,California
Adam Schiff,0,Democrat,California
Tony Cárdenas,0,Democrat,California
John Garamendi,0,Democrat,California
Brad Sherman,0,Democrat,California
Pete Aguilar,0,Democrat,California
Grace Napolitano,0,Democrat,California
Ted Lieu,0,Democrat,California
Xavier Becerra,0,Democrat,California
Norma Torres,0,Democrat,California
