Barbara Comstock,"$10,400 ",Republican,Virginia
Mike Coffman,"$9,900 ",Republican,Colorado
Frank Guinta,"$9,900 ",Republican,New Hampshire
Cresent Hardy,"$9,900 ",Republican,Nevada
Will Hurd,"$9,900 ",Republican,Texas
John Katko,"$9,900 ",Republican,New York
Bruce Poliquin,"$9,900 ",Republican,Maine
Lee Zeldin,"$9,900 ",Republican,New York
Joe Heck,"$8,900 ",Republican,Nevada
Rod Blum,"$7,450 ",Republican,Iowa
Bob Goodlatte,"$7,450 ",Republican,Virginia
Don Young,"$6,950 ",Republican,Alaska
Martha McSally,"$6,500 ",Republican,Arizona
John Culberson,"$5,950 ",Republican,Texas
Scott Garrett,"$5,950 ",Republican,New Jersey
Paul Ryan,"$5,950 ",Republican,Wisconsin
Bill Shuster,"$5,950 ",Republican,Pennsylvania
Todd Young,"$5,950 ",Republican,Indiana
Tom Cole,"$5,000 ",Republican,Oklahoma
John Boehner,"$4,950 ",Republican,Ohio
Charles Jr Boustany,"$4,950 ",Republican,Louisiana
Richard Hudson,"$4,950 ",Republican,North Carolina
Markwayne Mullin,"$4,950 ",Republican,Oklahoma
Steve Scalise,"$4,950 ",Republican,Louisiana
Lamar Smith,"$4,950 ",Republican,Texas
David Young,"$4,950 ",Republican,Iowa
Ken Calvert,"$4,500 ",Republican,California
Rob Bishop,"$4,000 ",Republican,Utah
Charlie Dent,"$4,000 ",Republican,Pennsylvania
Barry Loudermilk,"$4,000 ",Republican,Georgia
Patrick McHenry,"$4,000 ",Republican,North Carolina
John L Mica,"$4,000 ",Republican,Florida
Tim Walberg,"$4,000 ",Republican,Michigan
Kevin Yoder,"$4,000 ",Republican,Kansas
Ryan K Zinke,"$4,000 ",Republican,Montana
Robert B Aderholt,"$3,500 ",Republican,Alabama
David P Joyce,"$3,500 ",Republican,Ohio
Michael McCaul,"$3,500 ",Republican,Texas
Devin Nunes,"$3,500 ",Republican,California
Pete Olson,"$3,500 ",Republican,Texas
Scott Tipton,"$3,500 ",Republican,Colorado
David Valadao,"$3,500 ",Republican,California
Paul Cook,"$3,000 ",Republican,California
Jeff Duncan,"$3,000 ",Republican,South Carolina
Tom Graves,"$3,000 ",Republican,Georgia
Duncan D Hunter,"$3,000 ",Republican,California
Evan Jenkins,"$3,000 ",Republican,West Virginia
Steve Knight,"$3,000 ",Republican,California
Darin LaHood,"$3,000 ",Republican,Illinois
Robert E Latta,"$3,000 ",Republican,Ohio
Mia Love,"$3,000 ",Republican,Utah
Dan Newhouse,"$3,000 ",Republican,Washington
Erik Paulsen,"$3,000 ",Republican,Minnesota
Tom Reed,"$3,000 ",Republican,New York
Chris Stewart,"$3,000 ",Republican,Utah
Pat Tiberi,"$3,000 ",Republican,Ohio
Diane Black,"$2,500 ",Republican,Tennessee
Marsha Blackburn,"$2,500 ",Republican,Tennessee
John Carter,"$2,500 ",Republican,Texas
Doug Collins,"$2,500 ",Republican,Georgia
Carlos Curbelo,"$2,500 ",Republican,Florida
Rodney Davis,"$2,500 ",Republican,Illinois
Kay Granger,"$2,500 ",Republican,Texas
Andy Harris,"$2,500 ",Republican,Maryland
Sam Johnson,"$2,500 ",Republican,Texas
Jeff Miller,"$2,500 ",Republican,Florida
