,Senate,11900,,Unkown
 Richard Burr,9900,Republican,North Carolina
 Chuck Grassley,9900,Republican,Iowa
 Rand Paul,9900,Republican,Kentucky
 Rob Portman,9900,Republican,Ohio
 Marco Rubio,9900,Republican,Florida
 John Hoeven,8450,Republican,North Dakota
 Johnny Isakson,8450,Republican,Georgia
 Ron Johnson,7450,Republican,Wisconsin
 Kelly Ayotte,5950,Republican,New Hampshire
 John Boozman,5950,Republican,Arkansas
 James Lankford,5000,Republican,Oklahoma
 John Thune,5000,Republican,South Dakota
 Mike Crapo,4950,Republican,Idaho
 Richard C Shelby,4950,Republican,Alabama
 David Vitter,4950,Republican,Louisiana
 Lisa Murkowski,4500,Republican,Alaska
 Tim Scott,4500,Republican,South Carolina
 Mike Lee,2500,Republican,Utah
 Jerry Moran,2450,Republican,Kansas
 Ted Cruz,350,Republican,Texas
 John McCain,300,Republican,Arizona
