Roy Blunt,11900,Republican,Missouri
Marco Rubio,9900,Republican,Florida
Chuck Grassley,9900,Republican,Iowa
Rand Paul,9900,Republican,Kentucky
Richard Burr,9900,Republican,North Carolina
Rob Portman,9900,Republican,Ohio
Johnny Isakson,8450,Republican,Georgia
John Hoeven,8450,Republican,North Dakota
Ron Johnson,7450,Republican,Wisconsin
John Boozman,5950,Republican,Arkansas
Kelly Ayotte,5950,Republican,New Hampshire
James Lankford,5000,Republican,Oklahoma
John Thune,5000,Republican,South Dakota
Richard C Shelby,4950,Republican,Alabama
Mike Crapo,4950,Republican,Idaho
David Vitter,4950,Republican,Louisiana
Lisa Murkowski,4500,Republican,Alaska
Tim Scott,4500,Republican,South Carolina
Mike Lee,2500,Republican,Utah
Jerry Moran,2450,Republican,Kansas
Ted Cruz,350,Republican,Texas
John McCain,300,Republican,Arizona
Jeff Sessions,0,Republican,Alabama
Dan Sullivan,0,Republican,Alaska
Jeff Flake,0,Republican,Arizona
Tom Cotton,0,Republican,Arkansas
Dianne Feinstein,0,Democratic,California
Barbara Boxer,0,Democratic,California
Michael Bennet,0,Democratic,Colorado
Cory Gardner,0,Republican,Colorado
Richard Blumenthal,0,Democratic,Connecticut
Chris Murphy,0,Democratic,Connecticut
Tom Carper,0,Democratic,Delaware
Chris Coons,0,Democratic,Delaware
Bill Nelson,0,Democratic,Florida
David Perdue,0,Republican,Georgia
Brian Schatz,0,Democratic,Hawaii
Mazie Hirono,0,Democratic,Hawaii
Jim Risch,0,Republican,Idaho
Dick Durbin,0,Democratic,Illinois
Jack Reed,0,Democratic,Illinois
Mark Kirk,0,Republican,Illinois
Dan Coats,0,Republican,Indiana
Joe Donnelly,0,Democratic,Indiana
Joni Ernst,0,Republican,Iowa
Pat Roberts,0,Republican,Kansas
Mitch McConnell,0,Republican,Kentucky
Bill Cassidy,0,Republican,Louisiana
Susan Collins,0,Republican,Maine
Angus King,0,Independent,Maine
Barbara Mikulski,0,Democratic,Maryland
Ben Cardin,0,Democratic,Maryland
Elizabeth Warren,0,Democratic,Massachusetts
Ed Markey,0,Democratic,Massachusetts
Debbie Stabenow,0,Democratic,Michigan
Gary Peters,0,Democratic,Michigan
Amy Klobuchar,0,Democratic,Minnesota
Al Franken,0,Democratic,Minnesota
Thad Cochran,0,Republican,Mississippi
Roger Wicker,0,Republican,Mississippi
Claire McCaskill,0,Democratic,Missouri
Jon Tester,0,Democratic,Montana
Steve Daines,0,Republican,Montana
Deb Fischer,0,Republican,Nebraska
Ben Sasse,0,Republican,Nebraska
Harry Reid,0,Democratic,Nevada
Dean Heller,0,Republican,Nevada
Jeanne Shaheen,0,Democratic,New Hampshire
Bob Menendez,0,Democratic,New Jersey
Cory Booker,0,Democratic,New Jersey
Tom Udall,0,Democratic,New Mexico
Martin Heinrich,0,Democratic,New Mexico
Chuck Schumer,0,Democratic,New York
Kirsten Gillibrand,0,Democratic,New York
Thom Tillis,0,Republican,North Carolina
Heidi Heitkamp,0,Democratic,North Dakota
Sherrod Brown,0,Democratic,Ohio
Jim Inhofe,0,Republican,Oklahoma
Ron Wyden,0,Democratic,Oregon
Jeff Merkley,0,Democratic,Oregon
Bob Casey Jr,0,Democratic,Pennsylvania
Pat Toomey,0,Republican,Pennsylvania
Sheldon Whitehouse,0,Democratic,Rhode Island
Lindsey Graham,0,Republican,South Carolina
Mike Rounds,0,Republican,South Dakota
Lamar Alexander,0,Republican,Tennessee
Bob Corker,0,Republican,Tennessee
John Cornyn,0,Republican,Texas
Orrin Hatch,0,Republican,Utah
Patrick Leahy,0,Democratic,Vermont
Bernie Sanders,0,Independent,Vermont
Mark Warner,0,Democratic,Virginia
Tim Kaine,0,Democratic,Virginia
Patty Murray,0,Democratic,Washington
Maria Cantwell,0,Democratic,Washington
Joe Manchin,0,Democratic,West Virginia
Shelley Moore Capito,0,Republican,West Virginia
Tammy Baldwin,0,Democratic,Wisconsin
Mike Enzi,0,Republican,Wyoming
John Barrasso,0,Republican,Wyoming
